"","Date","Seed","Learner","Hyper_Parameter","Imputing","Time","Resampling_folds","CV_Score","Comment","DistrictSplit","District","Combined_Score"
"1",2024-01-16,123,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 965, learning_rate = 0.08948363, depth = 6)","impute hist",3.30900000000838,5,138.435384036591,"Hyperparameters optimized by Bayesian Optimization with nested resampling",FALSE,"All","138.435384036591"
"2",2024-01-16,1234,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 965, learning_rate = 0.08948363, depth = 6)","impute hist",2.91899999999441,5,139.453334150969,"Hyperparameter Choosen by Bayesian HPO",FALSE,"All","139.453334150969"
"3",2024-01-19,1234,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 965, learning_rate = 0.08948363, depth = 6)","hot deck",2.62799999990966,5,342.426612196403,"Target is Yield/Acre",FALSE,"All","342.426612196403"
"4",2024-01-26,1234,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 965, learning_rate = 0.08948363, depth = 6)","hot deck",1.70000000000005,5,350.850488084951,"Target is Yield/Acre",FALSE,"All","350.850488084951"
"5",2024-01-23,1234,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 965, learning_rate = 0.08948363, depth = 6)","hot deck",35.6899999999441,5,324.678538733675,"no feature selection",FALSE,"All","324.678538733675"
"6",2024-01-23,1234,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 965, learning_rate = 0.08948363, depth = 6)","impute mean",35.6599999999162,5,321.8653786351,"no feature selection",FALSE,"All","321.8653786351"
"7",2024-01-23,1234,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 965, learning_rate = 0.08948363, depth = 6)","imputehist",36.9699999999721,5,321.8653786351,"no feature selection",FALSE,"All","321.8653786351"
"8",2024-01-23,1234,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 965, learning_rate = 0.08948363, depth = 6)","imputelearner regr",58.5500000000466,5,320.907320653283,"no feature selection",FALSE,"All","320.907320653283"
"9",2024-01-26,1234,"regr.ranger","list(num.threads = 6, num.trees = 750)","hot deck",2.65000000000146,5,314.187092724897,"no feature selection",FALSE,"All","314.187092724897"
"10",2024-01-26,1234,"regr.ranger","list(num.threads = 6, num.trees = 750)","imputehist",4.79000000000087,5,314.374844921012,"no feature selection",FALSE,"All","314.374844921012"
"11",2024-01-26,1234,"regr.ranger","list(num.threads = 6, num.trees = 750)","impute mean",1.86000000000058,5,314.374844921012,"no feature selection",FALSE,"All","314.374844921012"
"12",2024-01-26,1234,"regr.ranger","list(num.threads = 6, num.trees = 750)","imputelearner regr",1.44000000000233,5,314.309103423669,"no feature selection",FALSE,"All","314.309103423669"
"13",2024-01-30,1234,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 1120, learning_rate = 0.08948363, depth = 10)","hot deck",400.799999999988,5,319.853819189608,"no feature selection",FALSE,"All","319.853819189608"
"14",2024-01-30,1234,"regr.ranger","list(num.threads = 6, num.trees = 750, splitrule = ""extratrees"")","hot deck",2.53000000002794,5,318.704571951489,"no feature selection",FALSE,"All","318.704571951489"
"15",2024-01-30,1905,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 320, learning_rate = 0.08948363, depth = 12)","hot deck",305.690000000002,5,318.070709620183,"no feature selection",FALSE,"All","318.070709620183"
"16",2024-01-30,1905,"regr.ranger","list(num.threads = 6, num.trees = 750)","hot deck",0.10999999998603,5,294.604581813075,"no feature selection",TRUE,"gaya","308.141803581946"
"17",2024-01-30,1905,"regr.ranger","list(num.threads = 6, num.trees = 750)","hot deck",0.399999999965075,5,233.722521943074,"no feature selection",TRUE,"jamui","308.141803581946"
"18",2024-01-30,1905,"regr.ranger","list(num.threads = 6, num.trees = 750)","hot deck",0.21999999997206,5,333.244037448992,"no feature selection",TRUE,"nalanda","308.141803581946"
"19",2024-01-30,1905,"regr.ranger","list(num.threads = 6, num.trees = 750)","hot deck",0.169999999983702,5,358.301625559221,"no feature selection",TRUE,"vaishali","308.141803581946"
"20",2024-01-30,1603,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 320, learning_rate = 0.08948363, depth = 10)","hot deck",30.3400000000256,5,298.94937583066,"no feature selection",TRUE,"gaya","311.376971673321"
"21",2024-01-30,1603,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 320, learning_rate = 0.08948363, depth = 10)","hot deck",34.8500000000349,5,233.921849984599,"no feature selection",TRUE,"jamui","311.376971673321"
"22",2024-01-30,1603,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 320, learning_rate = 0.08948363, depth = 10)","hot deck",36.6700000000419,5,329.396455882915,"no feature selection",TRUE,"nalanda","311.376971673321"
"23",2024-01-30,1603,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 320, learning_rate = 0.08948363, depth = 10)","hot deck",33.4400000000023,5,371.392292581687,"no feature selection",TRUE,"vaishali","311.376971673321"
"24",2024-01-30,1603,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 320, learning_rate = 0.08948363, depth = 10)","imputelearner regr",31.9800000000396,5,301.602143280533,"no feature selection",TRUE,"gaya","321.315686522494"
"25",2024-01-30,1603,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 1, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 320, learning_rate = 0.08948363, depth = 10)","imputelearner regr",37.9700000000303,5,235.034160771146,"no feature selection",TRUE,"jamui","321.315686522494"
